# Renewables.ninja Wind power (Point API) - 56.174, -4.412 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,
# Units: time in UTC, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW""}"," ""params"": {""lat"": ""56.17405070136488"""," ""lon"": ""-4.4117739136162015"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""200000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,electricity,Capacity factor,,,,,,,,,,
01/01/2019 00:00,151114.723,76%,,,,,,,,,,
01/01/2019 01:00,138505.017,69%,,,,,,,,,,
01/01/2019 02:00,123576.178,62%,,,,,,,,,,
01/01/2019 03:00,103705.426,52%,,,,,,,,,,
01/01/2019 04:00,88329.253,44%,,,,,,,,,,
01/01/2019 05:00,79009.037,40%,,,,,,,,,,
01/01/2019 06:00,69236.397,35%,,,,,,,,,,
01/01/2019 07:00,66262.939,33%,,,,,,,,,,
01/01/2019 08:00,62630.489,31%,,,,,,,,,,
01/01/2019 09:00,57777.218,29%,,,,,,,,,,
01/01/2019 10:00,49056.362,25%,,,,,,,,,,
01/01/2019 11:00,39074.388,20%,,,,,,,,,,
01/01/2019 12:00,33487.214,17%,,,,,,,,,,
01/01/2019 13:00,32076.63,16%,,,,,,,,,,
01/01/2019 14:00,33456.929,17%,,,,,,,,,,
01/01/2019 15:00,34342.69,17%,,,,,,,,,,
01/01/2019 16:00,31915.621,16%,,,,,,,,,,
01/01/2019 17:00,28194.53,14%,,,,,,,,,,
01/01/2019 18:00,24498.5,12%,,,,,,,,,,
01/01/2019 19:00,20915.423,10%,,,,,,,,,,
01/01/2019 20:00,17736.03,9%,,,,,,,,,,
01/01/2019 21:00,14719.026,7%,,,,,,,,,,
01/01/2019 22:00,12214.33,6%,,,,,,,,,,
01/01/2019 23:00,9983.893,5%,,,,,,,,,,
