# Renewables.ninja Wind power (Point API) - 56.377, -3.583 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,
# Units: time in UTC, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW""}"," ""params"": {""lat"": ""56.377467201148704"""," ""lon"": ""-3.582998744929"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""200000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,electricity,Capacity factor,,,,,,,,,,
01/01/2019 00:00,167994.09,84%,,,,,,,,,,
01/01/2019 01:00,155251.082,78%,,,,,,,,,,
01/01/2019 02:00,137370.517,69%,,,,,,,,,,
01/01/2019 03:00,116297.448,58%,,,,,,,,,,
01/01/2019 04:00,96290.183,48%,,,,,,,,,,
01/01/2019 05:00,84161.186,42%,,,,,,,,,,
01/01/2019 06:00,71208.165,36%,,,,,,,,,,
01/01/2019 07:00,68835.195,34%,,,,,,,,,,
01/01/2019 08:00,66317.502,33%,,,,,,,,,,
01/01/2019 09:00,64017.133,32%,,,,,,,,,,
01/01/2019 10:00,55564.036,28%,,,,,,,,,,
01/01/2019 11:00,44606.471,22%,,,,,,,,,,
01/01/2019 12:00,36585.991,18%,,,,,,,,,,
01/01/2019 13:00,41179.028,21%,,,,,,,,,,
01/01/2019 14:00,47853.871,24%,,,,,,,,,,
01/01/2019 15:00,51296.384,26%,,,,,,,,,,
01/01/2019 16:00,47131.691,24%,,,,,,,,,,
01/01/2019 17:00,41997.576,21%,,,,,,,,,,
01/01/2019 18:00,37832.84,19%,,,,,,,,,,
01/01/2019 19:00,34590.548,17%,,,,,,,,,,
01/01/2019 20:00,31905.094,16%,,,,,,,,,,
01/01/2019 21:00,30255.098,15%,,,,,,,,,,
01/01/2019 22:00,28019.821,14%,,,,,,,,,,
01/01/2019 23:00,25481.237,13%,,,,,,,,,,
02/01/2019 00:00,22890.008,11%,,,,,,,,,,
02/01/2019 01:00,20248.588,10%,,,,,,,,,,
02/01/2019 02:00,16865.401,8%,,,,,,,,,,
