# Renewables.ninja Wind power (Point API) - 57.289, -2.081 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,
# Units: time in UTC, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW""}"," ""params"": {""lat"": ""57.28945571835919"""," ""lon"": ""-2.080586243897983"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""200000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,electricity,Capacity factor,,,,,,,,,,
01/01/2019 00:00,195898.541,98%,,,,,,,,,,
01/01/2019 01:00,193488.113,97%,,,,,,,,,,
01/01/2019 02:00,188970.993,94%,,,,,,,,,,
01/01/2019 03:00,182435.049,91%,,,,,,,,,,
01/01/2019 04:00,176199.272,88%,,,,,,,,,,
01/01/2019 05:00,173477.357,87%,,,,,,,,,,
01/01/2019 06:00,172917.576,86%,,,,,,,,,,
01/01/2019 07:00,175838.345,88%,,,,,,,,,,
01/01/2019 08:00,177395.528,89%,,,,,,,,,,
01/01/2019 09:00,180045.41,90%,,,,,,,,,,
01/01/2019 10:00,182175.47,91%,,,,,,,,,,
01/01/2019 11:00,183137.738,92%,,,,,,,,,,
01/01/2019 12:00,182042.816,91%,,,,,,,,,,
01/01/2019 13:00,180086.171,90%,,,,,,,,,,
01/01/2019 14:00,176374.8,88%,,,,,,,,,,
01/01/2019 15:00,170802.086,85%,,,,,,,,,,
01/01/2019 16:00,164162.753,82%,,,,,,,,,,
01/01/2019 17:00,157290.052,79%,,,,,,,,,,
01/01/2019 18:00,149308.529,75%,,,,,,,,,,
01/01/2019 19:00,142029.496,71%,,,,,,,,,,
01/01/2019 20:00,135218.086,68%,,,,,,,,,,
01/01/2019 21:00,128422.204,64%,,,,,,,,,,
01/01/2019 22:00,119729,60%,,,,,,,,,,
01/01/2019 23:00,107945.233,54%,,,,,,,,,,
02/01/2019 00:00,96844.283,48%,,,,,,,,,,
02/01/2019 01:00,85707.152,43%,,,,,,,,,,
02/01/2019 02:00,73932.964,37%,,,,,,,,,,
02/01/2019 03:00,64353.684,32%,,,,,,,,,,
02/01/2019 04:00,56150.788,28%,,,,,,,,,,
02/01/2019 05:00,48597.373,24%,,,,,,,,,,
02/01/2019 06:00,42214.031,21%,,,,,,,,,,
02/01/2019 07:00,38729.688,19%,,,,,,,,,,
02/01/2019 08:00,38887.011,19%,,,,,,,,,,
02/01/2019 09:00,40166.928,20%,,,,,,,,,,
02/01/2019 10:00,39729.004,20%,,,,,,,,,,
02/01/2019 11:00,35987.238,18%,,,,,,,,,,
02/01/2019 12:00,33243.011,17%,,,,,,,,,,
02/01/2019 13:00,30922.943,15%,,,,,,,,,,
02/01/2019 14:00,28352.941,14%,,,,,,,,,,
02/01/2019 15:00,23544.188,12%,,,,,,,,,,
02/01/2019 16:00,18772.931,9%,,,,,,,,,,
02/01/2019 17:00,16561.13,8%,,,,,,,,,,
02/01/2019 18:00,15287.65,8%,,,,,,,,,,
02/01/2019 19:00,13455.201,7%,,,,,,,,,,
02/01/2019 20:00,10675.536,5%,,,,,,,,,,
02/01/2019 21:00,8205.106,4%,,,,,,,,,,
02/01/2019 22:00,7063.412,4%,,,,,,,,,,
02/01/2019 23:00,8050.23,4%,,,,,,,,,,
03/01/2019 00:00,9774.023,5%,,,,,,,,,,
03/01/2019 01:00,10861.896,5%,,,,,,,,,,
03/01/2019 02:00,10986.783,5%,,,,,,,,,,
03/01/2019 03:00,11725.897,6%,,,,,,,,,,
03/01/2019 04:00,12761.145,6%,,,,,,,,,,
03/01/2019 05:00,13612.69,7%,,,,,,,,,,
03/01/2019 06:00,15515.294,8%,,,,,,,,,,
03/01/2019 07:00,19070.273,10%,,,,,,,,,,
03/01/2019 08:00,22435.13,11%,,,,,,,,,,
03/01/2019 09:00,22684.526,11%,,,,,,,,,,
03/01/2019 10:00,20516.77,10%,,,,,,,,,,
03/01/2019 11:00,17708.652,9%,,,,,,,,,,
03/01/2019 12:00,18135.65,9%,,,,,,,,,,
03/01/2019 13:00,23892.902,12%,,,,,,,,,,
03/01/2019 14:00,30919.912,15%,,,,,,,,,,
03/01/2019 15:00,36018.133,18%,,,,,,,,,,
03/01/2019 16:00,45046.514,23%,,,,,,,,,,
03/01/2019 17:00,54883.164,27%,,,,,,,,,,
03/01/2019 18:00,53455.511,27%,,,,,,,,,,
03/01/2019 19:00,42045.201,21%,,,,,,,,,,
03/01/2019 20:00,36338.236,18%,,,,,,,,,,
03/01/2019 21:00,38905.503,19%,,,,,,,,,,
03/01/2019 22:00,42169.409,21%,,,,,,,,,,
03/01/2019 23:00,46858.124,23%,,,,,,,,,,
04/01/2019 00:00,55261.252,28%,,,,,,,,,,
04/01/2019 01:00,61654.29,31%,,,,,,,,,,
04/01/2019 02:00,65921.897,33%,,,,,,,,,,
04/01/2019 03:00,66024.023,33%,,,,,,,,,,
04/01/2019 04:00,63194.777,32%,,,,,,,,,,
04/01/2019 05:00,63093.303,32%,,,,,,,,,,
04/01/2019 06:00,65950.285,33%,,,,,,,,,,
04/01/2019 07:00,71963.426,36%,,,,,,,,,,
04/01/2019 08:00,75250.586,38%,,,,,,,,,,
04/01/2019 09:00,79556.518,40%,,,,,,,,,,
04/01/2019 10:00,83743.601,42%,,,,,,,,,,
04/01/2019 11:00,87013.73,44%,,,,,,,,,,
04/01/2019 12:00,87008.764,44%,,,,,,,,,,
04/01/2019 13:00,83088.851,42%,,,,,,,,,,
04/01/2019 14:00,88734.532,44%,,,,,,,,,,
04/01/2019 15:00,94624.909,47%,,,,,,,,,,
04/01/2019 16:00,94292.873,47%,,,,,,,,,,
04/01/2019 17:00,91994.686,46%,,,,,,,,,,
04/01/2019 18:00,88298.647,44%,,,,,,,,,,
04/01/2019 19:00,86263.729,43%,,,,,,,,,,
04/01/2019 20:00,85007.948,43%,,,,,,,,,,
04/01/2019 21:00,83437.8,42%,,,,,,,,,,
04/01/2019 22:00,81168.7,41%,,,,,,,,,,
04/01/2019 23:00,77657.786,39%,,,,,,,,,,
05/01/2019 00:00,76497.751,38%,,,,,,,,,,
05/01/2019 01:00,75783.3,38%,,,,,,,,,,
05/01/2019 02:00,72713.173,36%,,,,,,,,,,
05/01/2019 03:00,69851.216,35%,,,,,,,,,,
05/01/2019 04:00,68567.735,34%,,,,,,,,,,
05/01/2019 05:00,66055.238,33%,,,,,,,,,,
05/01/2019 06:00,62432.221,31%,,,,,,,,,,
05/01/2019 07:00,59074.797,30%,,,,,,,,,,
05/01/2019 08:00,55637.611,28%,,,,,,,,,,
05/01/2019 09:00,52274.756,26%,,,,,,,,,,
05/01/2019 10:00,50190.875,25%,,,,,,,,,,
05/01/2019 11:00,48148.475,24%,,,,,,,,,,
