# Renewables.ninja Wind power (Point API) - 53.512, -2.960 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,
# Units: time in UTC, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW""}"," ""params"": {""lat"": ""53.5120065158398"""," ""lon"": ""-2.959539992996355"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""200000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,electricity,Capacity factor,,,,,,,,,,
01/01/2019 00:00,140072.049,70%,,,,,,,,,,
01/01/2019 01:00,137734.8,69%,,,,,,,,,,
01/01/2019 02:00,132207.742,66%,,,,,,,,,,
01/01/2019 03:00,132203.464,66%,,,,,,,,,,
01/01/2019 04:00,122554.23,61%,,,,,,,,,,
01/01/2019 05:00,110739.471,55%,,,,,,,,,,
01/01/2019 06:00,94028.174,47%,,,,,,,,,,
01/01/2019 07:00,82539.951,41%,,,,,,,,,,
01/01/2019 08:00,81172.171,41%,,,,,,,,,,
01/01/2019 09:00,73926.371,37%,,,,,,,,,,
01/01/2019 10:00,66777.448,33%,,,,,,,,,,
01/01/2019 11:00,69655.947,35%,,,,,,,,,,
01/01/2019 12:00,69308.143,35%,,,,,,,,,,
01/01/2019 13:00,60995.124,30%,,,,,,,,,,
01/01/2019 14:00,51863.801,26%,,,,,,,,,,
01/01/2019 15:00,50196.172,25%,,,,,,,,,,
01/01/2019 16:00,49580.094,25%,,,,,,,,,,
01/01/2019 17:00,46343.944,23%,,,,,,,,,,
01/01/2019 18:00,44977.352,22%,,,,,,,,,,
01/01/2019 19:00,45050.475,23%,,,,,,,,,,
01/01/2019 20:00,43953.406,22%,,,,,,,,,,
01/01/2019 21:00,38650.87,19%,,,,,,,,,,
01/01/2019 22:00,31803.111,16%,,,,,,,,,,
01/01/2019 23:00,25928.131,13%,,,,,,,,,,
02/01/2019 00:00,22421.58,11%,,,,,,,,,,
02/01/2019 01:00,19304.254,10%,,,,,,,,,,
02/01/2019 02:00,15914.983,8%,,,,,,,,,,
02/01/2019 03:00,12918.587,6%,,,,,,,,,,
02/01/2019 04:00,11629.595,6%,,,,,,,,,,
02/01/2019 05:00,11993.612,6%,,,,,,,,,,
02/01/2019 06:00,12739.445,6%,,,,,,,,,,
02/01/2019 07:00,12581.395,6%,,,,,,,,,,
02/01/2019 08:00,11609.075,6%,,,,,,,,,,
02/01/2019 09:00,8701.394,4%,,,,,,,,,,
02/01/2019 10:00,4801.077,2%,,,,,,,,,,
02/01/2019 11:00,2219.866,1%,,,,,,,,,,
02/01/2019 12:00,1333.534,1%,,,,,,,,,,
02/01/2019 13:00,1142.454,1%,,,,,,,,,,
02/01/2019 14:00,1282.726,1%,,,,,,,,,,
02/01/2019 15:00,1832.252,1%,,,,,,,,,,
02/01/2019 16:00,2793.053,1%,,,,,,,,,,
02/01/2019 17:00,3770.535,2%,,,,,,,,,,
02/01/2019 18:00,4570.384,2%,,,,,,,,,,
02/01/2019 19:00,5936.141,3%,,,,,,,,,,
02/01/2019 20:00,7922.059,4%,,,,,,,,,,
02/01/2019 21:00,9101.574,5%,,,,,,,,,,
02/01/2019 22:00,8926.082,4%,,,,,,,,,,
02/01/2019 23:00,7908.019,4%,,,,,,,,,,
03/01/2019 00:00,6558.929,3%,,,,,,,,,,
03/01/2019 01:00,5079.442,3%,,,,,,,,,,
03/01/2019 02:00,4770.932,2%,,,,,,,,,,
03/01/2019 03:00,4550.156,2%,,,,,,,,,,
03/01/2019 04:00,4290.317,2%,,,,,,,,,,
03/01/2019 05:00,5038.521,3%,,,,,,,,,,
03/01/2019 06:00,7588.24,4%,,,,,,,,,,
03/01/2019 07:00,11194.089,6%,,,,,,,,,,
03/01/2019 08:00,13735.129,7%,,,,,,,,,,
03/01/2019 09:00,13592.568,7%,,,,,,,,,,
03/01/2019 10:00,9721.832,5%,,,,,,,,,,
03/01/2019 11:00,5467.261,3%,,,,,,,,,,
03/01/2019 12:00,3274.959,2%,,,,,,,,,,
03/01/2019 13:00,2743.808,1%,,,,,,,,,,
03/01/2019 14:00,4835.329,2%,,,,,,,,,,
03/01/2019 15:00,7500.287,4%,,,,,,,,,,
03/01/2019 16:00,8534.854,4%,,,,,,,,,,
03/01/2019 17:00,8875.123,4%,,,,,,,,,,
03/01/2019 18:00,10088.665,5%,,,,,,,,,,
03/01/2019 19:00,11505.711,6%,,,,,,,,,,
03/01/2019 20:00,13089.339,7%,,,,,,,,,,
03/01/2019 21:00,15365.681,8%,,,,,,,,,,
03/01/2019 22:00,16281.204,8%,,,,,,,,,,
03/01/2019 23:00,18727.863,9%,,,,,,,,,,
04/01/2019 00:00,21005.245,11%,,,,,,,,,,
04/01/2019 01:00,20245.388,10%,,,,,,,,,,
04/01/2019 02:00,15619.087,8%,,,,,,,,,,
04/01/2019 03:00,11568.08,6%,,,,,,,,,,
04/01/2019 04:00,10290.178,5%,,,,,,,,,,
04/01/2019 05:00,10460.705,5%,,,,,,,,,,
04/01/2019 06:00,10134.713,5%,,,,,,,,,,
04/01/2019 07:00,11560.179,6%,,,,,,,,,,
04/01/2019 08:00,15167.981,8%,,,,,,,,,,
04/01/2019 09:00,17815.525,9%,,,,,,,,,,
04/01/2019 10:00,17591.183,9%,,,,,,,,,,
04/01/2019 11:00,17233.571,9%,,,,,,,,,,
04/01/2019 12:00,18990.477,9%,,,,,,,,,,
04/01/2019 13:00,22379.541,11%,,,,,,,,,,
04/01/2019 14:00,27618.971,14%,,,,,,,,,,
04/01/2019 15:00,32556.9,16%,,,,,,,,,,
04/01/2019 16:00,35773.731,18%,,,,,,,,,,
04/01/2019 17:00,37677.746,19%,,,,,,,,,,
04/01/2019 18:00,39454.978,20%,,,,,,,,,,
04/01/2019 19:00,40671.341,20%,,,,,,,,,,
04/01/2019 20:00,40880.98,20%,,,,,,,,,,
04/01/2019 21:00,40175.245,20%,,,,,,,,,,
04/01/2019 22:00,39226.68,20%,,,,,,,,,,
04/01/2019 23:00,38875.209,19%,,,,,,,,,,
05/01/2019 00:00,38376.54,19%,,,,,,,,,,
05/01/2019 01:00,37088.528,19%,,,,,,,,,,
05/01/2019 02:00,35507.628,18%,,,,,,,,,,
05/01/2019 03:00,33486.879,17%,,,,,,,,,,
05/01/2019 04:00,31993.558,16%,,,,,,,,,,
05/01/2019 05:00,32002.422,16%,,,,,,,,,,
05/01/2019 06:00,32230.366,16%,,,,,,,,,,
05/01/2019 07:00,32281.252,16%,,,,,,,,,,
05/01/2019 08:00,30580.709,15%,,,,,,,,,,
05/01/2019 09:00,30579.797,15%,,,,,,,,,,
05/01/2019 10:00,34364.234,17%,,,,,,,,,,
05/01/2019 11:00,42272.658,21%,,,,,,,,,,
05/01/2019 12:00,51268.873,26%,,,,,,,,,,
05/01/2019 13:00,58768.057,29%,,,,,,,,,,
05/01/2019 14:00,63107.045,32%,,,,,,,,,,
05/01/2019 15:00,65592.048,33%,,,,,,,,,,
05/01/2019 16:00,66832.863,33%,,,,,,,,,,
05/01/2019 17:00,66783.913,33%,,,,,,,,,,
05/01/2019 18:00,64781.576,32%,,,,,,,,,,
05/01/2019 19:00,62362.481,31%,,,,,,,,,,
05/01/2019 20:00,59250.472,30%,,,,,,,,,,
05/01/2019 21:00,55570.342,28%,,,,,,,,,,
05/01/2019 22:00,51812.983,26%,,,,,,,,,,
05/01/2019 23:00,47684.884,24%,,,,,,,,,,
06/01/2019 00:00,45964.302,23%,,,,,,,,,,
06/01/2019 01:00,45860.307,23%,,,,,,,,,,
06/01/2019 02:00,43497.851,22%,,,,,,,,,,
06/01/2019 03:00,45834.114,23%,,,,,,,,,,
06/01/2019 04:00,51817.026,26%,,,,,,,,,,
06/01/2019 05:00,57185.58,29%,,,,,,,,,,
06/01/2019 06:00,58753.909,29%,,,,,,,,,,
06/01/2019 07:00,58662.894,29%,,,,,,,,,,
06/01/2019 08:00,57724.022,29%,,,,,,,,,,
06/01/2019 09:00,53933.908,27%,,,,,,,,,,
06/01/2019 10:00,45484.071,23%,,,,,,,,,,
06/01/2019 11:00,37229.486,19%,,,,,,,,,,
06/01/2019 12:00,35751.914,18%,,,,,,,,,,
06/01/2019 13:00,40048.931,20%,,,,,,,,,,
06/01/2019 14:00,44820.625,22%,,,,,,,,,,
06/01/2019 15:00,45033.923,23%,,,,,,,,,,
06/01/2019 16:00,40887.394,20%,,,,,,,,,,
06/01/2019 17:00,37415.685,19%,,,,,,,,,,
06/01/2019 18:00,37167.267,19%,,,,,,,,,,
06/01/2019 19:00,39340.482,20%,,,,,,,,,,
06/01/2019 20:00,45482.361,23%,,,,,,,,,,
06/01/2019 21:00,55742.706,28%,,,,,,,,,,
06/01/2019 22:00,68645.585,34%,,,,,,,,,,
06/01/2019 23:00,78941.912,39%,,,,,,,,,,
07/01/2019 00:00,86441.219,43%,,,,,,,,,,
07/01/2019 01:00,85509.584,43%,,,,,,,,,,
07/01/2019 02:00,97578.92,49%,,,,,,,,,,
07/01/2019 03:00,103597.497,52%,,,,,,,,,,
07/01/2019 04:00,109406.7,55%,,,,,,,,,,
07/01/2019 05:00,107978.962,54%,,,,,,,,,,
07/01/2019 06:00,108462.78,54%,,,,,,,,,,
07/01/2019 07:00,119100.284,60%,,,,,,,,,,
07/01/2019 08:00,127085.294,64%,,,,,,,,,,
07/01/2019 09:00,135560.506,68%,,,,,,,,,,
07/01/2019 10:00,154884.975,77%,,,,,,,,,,
07/01/2019 11:00,171111.24,86%,,,,,,,,,,
07/01/2019 12:00,178780.302,89%,,,,,,,,,,
07/01/2019 13:00,177346.631,89%,,,,,,,,,,
07/01/2019 14:00,175064.324,88%,,,,,,,,,,
07/01/2019 15:00,173342.46,87%,,,,,,,,,,
07/01/2019 16:00,177112.277,89%,,,,,,,,,,
07/01/2019 17:00,177426.594,89%,,,,,,,,,,
