# Renewables.ninja Wind power (Point API) - 52.427, -1.963 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,
# Units: time in UTC, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""electricity"": ""kW""}"," ""params"": {""lat"": ""52.42678780602159"""," ""lon"": ""-1.9630862974531453"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""header"": ""true"""," ""local_time"": ""false"""," ""capacity"": ""200000"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": ""false""}}"
time,electricity,Capacity factor,,,,,,,,,,
01/01/2019 00:00,85845.682,43%,,,,,,,,,,
01/01/2019 01:00,79827.961,40%,,,,,,,,,,
01/01/2019 02:00,75245.51,38%,,,,,,,,,,
01/01/2019 03:00,80310.545,40%,,,,,,,,,,
01/01/2019 04:00,85565.028,43%,,,,,,,,,,
01/01/2019 05:00,87580.968,44%,,,,,,,,,,
01/01/2019 06:00,89740.553,45%,,,,,,,,,,
01/01/2019 07:00,89661.012,45%,,,,,,,,,,
01/01/2019 08:00,82715.87,41%,,,,,,,,,,
01/01/2019 09:00,77670.514,39%,,,,,,,,,,
01/01/2019 10:00,62022.53,31%,,,,,,,,,,
01/01/2019 11:00,68652.742,34%,,,,,,,,,,
01/01/2019 12:00,80270.789,40%,,,,,,,,,,
01/01/2019 13:00,78731.575,39%,,,,,,,,,,
01/01/2019 14:00,72070.493,36%,,,,,,,,,,
01/01/2019 15:00,66836.267,33%,,,,,,,,,,
01/01/2019 16:00,68400.695,34%,,,,,,,,,,
01/01/2019 17:00,68128.737,34%,,,,,,,,,,
01/01/2019 18:00,66830.054,33%,,,,,,,,,,
01/01/2019 19:00,65029.819,33%,,,,,,,,,,
01/01/2019 20:00,62484.049,31%,,,,,,,,,,
01/01/2019 21:00,52810.61,26%,,,,,,,,,,
01/01/2019 22:00,40370.769,20%,,,,,,,,,,
01/01/2019 23:00,30297.989,15%,,,,,,,,,,
02/01/2019 00:00,27038.864,14%,,,,,,,,,,
02/01/2019 01:00,26856.584,13%,,,,,,,,,,
02/01/2019 02:00,24428.236,12%,,,,,,,,,,
02/01/2019 03:00,21981.227,11%,,,,,,,,,,
02/01/2019 04:00,22321.505,11%,,,,,,,,,,
02/01/2019 05:00,23814.863,12%,,,,,,,,,,
02/01/2019 06:00,25912.755,13%,,,,,,,,,,
02/01/2019 07:00,27294.612,14%,,,,,,,,,,
02/01/2019 08:00,26595.717,13%,,,,,,,,,,
02/01/2019 09:00,20452.412,10%,,,,,,,,,,
02/01/2019 10:00,10852.351,5%,,,,,,,,,,
02/01/2019 11:00,5985.76,3%,,,,,,,,,,
02/01/2019 12:00,4797.246,2%,,,,,,,,,,
02/01/2019 13:00,4369.83,2%,,,,,,,,,,
02/01/2019 14:00,5048.277,3%,,,,,,,,,,
02/01/2019 15:00,6656.604,3%,,,,,,,,,,
02/01/2019 16:00,6781.593,3%,,,,,,,,,,
02/01/2019 17:00,5453.161,3%,,,,,,,,,,
02/01/2019 18:00,3550.672,2%,,,,,,,,,,
02/01/2019 19:00,1986.889,1%,,,,,,,,,,
02/01/2019 20:00,1160.333,1%,,,,,,,,,,
02/01/2019 21:00,1249.449,1%,,,,,,,,,,
02/01/2019 22:00,1915.304,1%,,,,,,,,,,
02/01/2019 23:00,2965.408,1%,,,,,,,,,,
03/01/2019 00:00,3948.505,2%,,,,,,,,,,
03/01/2019 01:00,3532.58,2%,,,,,,,,,,
03/01/2019 02:00,2179.093,1%,,,,,,,,,,
03/01/2019 03:00,1423.877,1%,,,,,,,,,,
03/01/2019 04:00,1262.075,1%,,,,,,,,,,
03/01/2019 05:00,1280.13,1%,,,,,,,,,,
03/01/2019 06:00,1104.581,1%,,,,,,,,,,
03/01/2019 07:00,694.942,0%,,,,,,,,,,
03/01/2019 08:00,404.173,0%,,,,,,,,,,
03/01/2019 09:00,606.075,0%,,,,,,,,,,
03/01/2019 10:00,941.773,0%,,,,,,,,,,
03/01/2019 11:00,1268.405,1%,,,,,,,,,,
03/01/2019 12:00,619.913,0%,,,,,,,,,,
03/01/2019 13:00,280.321,0%,,,,,,,,,,
03/01/2019 14:00,336.005,0%,,,,,,,,,,
03/01/2019 15:00,488.205,0%,,,,,,,,,,
03/01/2019 16:00,621.578,0%,,,,,,,,,,
03/01/2019 17:00,859.202,0%,,,,,,,,,,
03/01/2019 18:00,1140.928,1%,,,,,,,,,,
03/01/2019 19:00,1207.012,1%,,,,,,,,,,
03/01/2019 20:00,984.669,0%,,,,,,,,,,
03/01/2019 21:00,997.683,0%,,,,,,,,,,
03/01/2019 22:00,1594.323,1%,,,,,,,,,,
03/01/2019 23:00,1905.312,1%,,,,,,,,,,
04/01/2019 00:00,3556.08,2%,,,,,,,,,,
04/01/2019 01:00,3981.516,2%,,,,,,,,,,
04/01/2019 02:00,2604.542,1%,,,,,,,,,,
04/01/2019 03:00,1908.955,1%,,,,,,,,,,
04/01/2019 04:00,2578.97,1%,,,,,,,,,,
04/01/2019 05:00,4250.732,2%,,,,,,,,,,
04/01/2019 06:00,5831.286,3%,,,,,,,,,,
04/01/2019 07:00,10182.16,5%,,,,,,,,,,
04/01/2019 08:00,16774.976,8%,,,,,,,,,,
04/01/2019 09:00,16356.06,8%,,,,,,,,,,
04/01/2019 10:00,10108.161,5%,,,,,,,,,,
04/01/2019 11:00,9034.904,5%,,,,,,,,,,
04/01/2019 12:00,10889.856,5%,,,,,,,,,,
04/01/2019 13:00,11861.441,6%,,,,,,,,,,
04/01/2019 14:00,16286.036,8%,,,,,,,,,,
04/01/2019 15:00,25277.957,13%,,,,,,,,,,
04/01/2019 16:00,32555.056,16%,,,,,,,,,,
04/01/2019 17:00,38059.038,19%,,,,,,,,,,
04/01/2019 18:00,41780.793,21%,,,,,,,,,,
04/01/2019 19:00,43661.72,22%,,,,,,,,,,
04/01/2019 20:00,42530.668,21%,,,,,,,,,,
04/01/2019 21:00,41382.202,21%,,,,,,,,,,
04/01/2019 22:00,40716.631,20%,,,,,,,,,,
04/01/2019 23:00,40500.291,20%,,,,,,,,,,
05/01/2019 00:00,40232.29,20%,,,,,,,,,,
05/01/2019 01:00,38729.294,19%,,,,,,,,,,
05/01/2019 02:00,37111.518,19%,,,,,,,,,,
05/01/2019 03:00,36204.969,18%,,,,,,,,,,
05/01/2019 04:00,36051.294,18%,,,,,,,,,,
05/01/2019 05:00,34792.161,17%,,,,,,,,,,
05/01/2019 06:00,32488.548,16%,,,,,,,,,,
05/01/2019 07:00,31633.199,16%,,,,,,,,,,
05/01/2019 08:00,29989.173,15%,,,,,,,,,,
05/01/2019 09:00,26600.841,13%,,,,,,,,,,
05/01/2019 10:00,23563.757,12%,,,,,,,,,,
05/01/2019 11:00,23540.636,12%,,,,,,,,,,
05/01/2019 12:00,26871.91,13%,,,,,,,,,,
05/01/2019 13:00,32373.907,16%,,,,,,,,,,
05/01/2019 14:00,40792.599,20%,,,,,,,,,,
05/01/2019 15:00,51810.792,26%,,,,,,,,,,
05/01/2019 16:00,59196.707,30%,,,,,,,,,,
05/01/2019 17:00,62049.383,31%,,,,,,,,,,
05/01/2019 18:00,62211.336,31%,,,,,,,,,,
05/01/2019 19:00,60986.859,30%,,,,,,,,,,
05/01/2019 20:00,57785.707,29%,,,,,,,,,,
05/01/2019 21:00,54996.204,27%,,,,,,,,,,
05/01/2019 22:00,54524.603,27%,,,,,,,,,,
05/01/2019 23:00,55426.009,28%,,,,,,,,,,
06/01/2019 00:00,55530.299,28%,,,,,,,,,,
06/01/2019 01:00,54298.595,27%,,,,,,,,,,
06/01/2019 02:00,52747.544,26%,,,,,,,,,,
06/01/2019 03:00,52741.559,26%,,,,,,,,,,
06/01/2019 04:00,54564.556,27%,,,,,,,,,,
06/01/2019 05:00,59319.649,30%,,,,,,,,,,
06/01/2019 06:00,63740.504,32%,,,,,,,,,,
06/01/2019 07:00,64815.136,32%,,,,,,,,,,
06/01/2019 08:00,64517.759,32%,,,,,,,,,,
06/01/2019 09:00,58784.467,29%,,,,,,,,,,
06/01/2019 10:00,49257.887,25%,,,,,,,,,,
06/01/2019 11:00,38559.167,19%,,,,,,,,,,
