# Renewables.ninja Wind power (Point API) - 56.377, -3.583 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, electricity in kW
# {"units": {"time": "UTC", "electricity": "kW"}, "params": {"lat": "56.377467201148704", "lon": "-3.582998744929", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "header": "true", "local_time": "false", "capacity": "200000", "height": "80", "turbine": "Vestas V90 2000", "raw": "false"}}
time,electricity
2019-01-01 00:00,167994.090
2019-01-01 01:00,155251.082
2019-01-01 02:00,137370.517
2019-01-01 03:00,116297.448
2019-01-01 04:00,96290.183
2019-01-01 05:00,84161.186
2019-01-01 06:00,71208.165
2019-01-01 07:00,68835.195
2019-01-01 08:00,66317.502
2019-01-01 09:00,64017.133
2019-01-01 10:00,55564.036
2019-01-01 11:00,44606.471
2019-01-01 12:00,36585.991
2019-01-01 13:00,41179.028
2019-01-01 14:00,47853.871
2019-01-01 15:00,51296.384
2019-01-01 16:00,47131.691
2019-01-01 17:00,41997.576
2019-01-01 18:00,37832.840
2019-01-01 19:00,34590.548
2019-01-01 20:00,31905.094
2019-01-01 21:00,30255.098
2019-01-01 22:00,28019.821
2019-01-01 23:00,25481.237
2019-01-02 00:00,22890.008
2019-01-02 01:00,20248.588
2019-01-02 02:00,16865.401
2019-01-02 03:00,13851.464
2019-01-02 04:00,10810.143
2019-01-02 05:00,7661.510
2019-01-02 06:00,5144.926
2019-01-02 07:00,3567.480
2019-01-02 08:00,3191.502
2019-01-02 09:00,4530.824
2019-01-02 10:00,6482.963
2019-01-02 11:00,7370.398
2019-01-02 12:00,8412.982
2019-01-02 13:00,8994.024
2019-01-02 14:00,9549.980
2019-01-02 15:00,9457.680
2019-01-02 16:00,9035.078
2019-01-02 17:00,9485.754
2019-01-02 18:00,10694.579
2019-01-02 19:00,11554.977
2019-01-02 20:00,11424.786
2019-01-02 21:00,11945.036
2019-01-02 22:00,14356.258
2019-01-02 23:00,17026.383
2019-01-03 00:00,17341.749
2019-01-03 01:00,15756.567
2019-01-03 02:00,14045.362
2019-01-03 03:00,14104.695
2019-01-03 04:00,15281.104
2019-01-03 05:00,17169.478
2019-01-03 06:00,20454.925
2019-01-03 07:00,25032.504
2019-01-03 08:00,29578.216
2019-01-03 09:00,31880.462
2019-01-03 10:00,28293.151
2019-01-03 11:00,21409.481
2019-01-03 12:00,17050.555
2019-01-03 13:00,18709.583
2019-01-03 14:00,25490.809
2019-01-03 15:00,33999.865
2019-01-03 16:00,37863.180
2019-01-03 17:00,41007.630
2019-01-03 18:00,46989.518
2019-01-03 19:00,51806.174
2019-01-03 20:00,47206.579
2019-01-03 21:00,38335.720
2019-01-03 22:00,38905.127
2019-01-03 23:00,42823.312
2019-01-04 00:00,46245.713
2019-01-04 01:00,46934.734
2019-01-04 02:00,49451.472
2019-01-04 03:00,53926.028
2019-01-04 04:00,54883.645
2019-01-04 05:00,55977.122
2019-01-04 06:00,58374.438
2019-01-04 07:00,62780.852
